,Rank,City,State,RecentCensus,Census,Percentage_change,Land_area,Population_density,Longitude,Latitude
0,1,New York,New York,8537673,8175133,4.43,301.5,28317,40.66,73.94
1,2,Los Angeles,California,3976322,3792621,4.84,468.7,8484,34.02,118.41
2,3,Chicago,Illinois,2704958,2695598,0.35,227.3,11900,41.84,87.68
3,4,Houston,Texas,2303482,2100263,9.68,637.5,3613,29.79,95.39
4,5,Phoenix,Arizona,1615017,1445632,11.72,517.6,3120,33.57,112.09
5,6,Philadelphia,Pennsylvania,1567872,1526006,2.74,134.2,11683,40.01,75.13
6,7,San Antonio,Texas,1492510,1327407,12.44,461.0,3238,29.47,98.53
7,8,San Diego,California,1406630,1307402,7.59,325.2,4325,32.82,117.14
8,9,Dallas,Texas,1317929,1197816,10.03,340.9,3866,32.79,96.77
9,10,San Jose,California,1025350,945942,8.39,177.5,5777,37.3,121.82
10,11,Austin,Texas,947890,790390,19.93,312.7,3031,30.3,97.75
11,12,Jacksonville,Florida,880619,821784,7.16,747.4,1178,30.34,81.66
12,13,San Francisco,California,870887,805235,8.15,46.9,18569,37.73,123.03
13,14,Columbus,Ohio,860090,787033,9.28,218.5,3936,39.99,82.98
14,15,Indianapolis,Indiana,855164,820445,4.23,361.5,2366,39.78,86.15
15,16,Fort Worth,Texas,854113,741206,15.23,342.9,2491,32.78,97.35
16,17,Charlotte,North Carolina,842051,731424,15.12,305.4,2757,35.21,80.83
17,18,Seattle,Washington,704352,608660,15.72,83.8,8405,47.62,122.35
18,19,Denver,Colorado,693060,600158,15.48,153.3,4521,39.76,104.88
19,20,El Paso,Texas,683080,649121,5.23,256.8,2660,31.85,106.43
20,21,Washington,District of Columbia,681170,601723,13.20,61.1,11148,38.9,77.02
21,22,Boston,Massachusetts,673184,617594,9.00,48.3,13938,42.33,71.02
22,23,Detroit,Michigan,672795,713777,-5.74,138.8,4847,42.38,83.1
23,24,Nashville,Tennessee,660388,601222,9.84,475.9,1388,36.17,86.79
24,25,Memphis,Tennessee,652717,646889,0.90,317.4,2056,35.1,89.98
25,26,Portland,Oregon,639863,583776,9.61,133.5,4793,45.54,122.65
26,27,Oklahoma City,Oklahoma,638367,579999,10.06,606.3,1053,35.47,97.51
27,28,Las Vegas,Nevada,632912,583756,8.42,134.4,4709,36.23,115.26
28,29,Louisville,Kentucky,616261,597337,3.17,263.5,2339,38.17,85.65
29,30,Baltimore,Maryland,614664,620961,-1.01,80.9,7598,39.3,76.61
30,31,Milwaukee,Wisconsin,595047,594833,0.04,96.2,6186,43.06,87.97
31,32,Albuquerque,New Mexico,559277,545852,2.46,188.2,2972,35.11,106.65
32,33,Tucson,Arizona,530706,520116,2.04,230.8,2299,32.15,110.87
33,34,Fresno,California,522053,494665,5.54,114.4,4563,36.78,119.79
34,35,Sacramento,California,495234,466488,6.16,97.9,5059,38.57,121.47
