Rank,City,State,RecentCensus,Census,Percentage_change,Land_area,Population_density,Longitude,Latitude
1,New York,New York,"8,537,673","8,175,133",4.43%,301.5 sq mi,28317,40.66,73.94
2,Los Angeles,California,"3,976,322","3,792,621",4.84%,468.7 sq mi,8484,34.02,118.41
3,Chicago,Illinois,"2,704,958","2,695,598",0.35%,227.3 sq mi,11900,41.84,87.68
4,Houston,Texas,"2,303,482","2,100,263",9.68%,637.5 sq mi,3613,29.79,95.39
5,Phoenix,Arizona,"1,615,017","1,445,632",11.72%,517.6 sq mi,3120,33.57,112.09
6,Philadelphia,Pennsylvania,"1,567,872","1,526,006",2.74%,134.2 sq mi,11683,40.01,75.13
7,San Antonio,Texas,"1,492,510","1,327,407",12.44%,461.0 sq mi,3238,29.47,98.53
8,San Diego,California,"1,406,630","1,307,402",7.59%,325.2 sq mi,4325,32.82,117.14
9,Dallas,Texas,"1,317,929","1,197,816",10.03%,340.9 sq mi,3866,32.79,96.77
10,San Jose,California,"1,025,350","945,942",8.39%,177.5 sq mi,5777,37.3,121.82
11,Austin,Texas,"947,890","790,390",19.93%,312.7 sq mi,3031,30.3,97.75
12,Jacksonville,Florida,"880,619","821,784",7.16%,747.4 sq mi,1178,30.34,81.66
13,San Francisco,California,"870,887","805,235",8.15%,46.9 sq mi,18569,37.73,123.03
14,Columbus,Ohio,"860,090","787,033",9.28%,218.5 sq mi,3936,39.99,82.98
15,Indianapolis,Indiana,"855,164","820,445",4.23%,361.5 sq mi,2366,39.78,86.15
16,Fort Worth,Texas,"854,113","741,206",15.23%,342.9 sq mi,2491,32.78,97.35
17,Charlotte,North Carolina,"842,051","731,424",15.12%,305.4 sq mi,2757,35.21,80.83
18,Seattle,Washington,"704,352","608,660",15.72%,83.8 sq mi,8405,47.62,122.35
19,Denver,Colorado,"693,060","600,158",15.48%,153.3 sq mi,4521,39.76,104.88
20,El Paso,Texas,"683,080","649,121",5.23%,256.8 sq mi,2660,31.85,106.43
21,Washington,District of Columbia,"681,170","601,723",13.20%,61.1 sq mi,11148,38.9,77.02
22,Boston,Massachusetts,"673,184","617,594",9.00%,48.3 sq mi,13938,42.33,71.02
23,Detroit,Michigan,"672,795","713,777",_5.74%,138.8 sq mi,4847,42.38,83.1
24,Nashville,Tennessee,"660,388","601,222",9.84%,475.9 sq mi,1388,36.17,86.79
25,Memphis,Tennessee,"652,717","646,889",0.90%,317.4 sq mi,2056,35.1,89.98
26,Portland,Oregon,"639,863","583,776",9.61%,133.5 sq mi,4793,45.54,122.65
27,Oklahoma City,Oklahoma,"638,367","579,999",10.06%,606.3 sq mi,1053,35.47,97.51
28,Las Vegas,Nevada,"632,912","583,756",8.42%,134.4 sq mi,4709,36.23,115.26
29,Louisville,Kentucky,"616,261","597,337",3.17%,263.5 sq mi,2339,38.17,85.65
30,Baltimore,Maryland,"614,664","620,961",_1.01%,80.9 sq mi,7598,39.3,76.61
31,Milwaukee,Wisconsin,"595,047","594,833",0.04%,96.2 sq mi,6186,43.06,87.97
32,Albuquerque,New Mexico,"559,277","545,852",2.46%,188.2 sq mi,2972,35.11,106.65
33,Tucson,Arizona,"530,706","520,116",2.04%,230.8 sq mi,2299,32.15,110.87
34,Fresno,California,"522,053","494,665",5.54%,114.4 sq mi,4563,36.78,119.79
35,Sacramento,California,"495,234","466,488",6.16%,97.9 sq mi,5059,38.57,121.47
36,Mesa,Arizona,"484,587","439,041",10.37%,137.9 sq mi,3514,33.4,111.72
37,Kansas City,Missouri,"481,420","459,787",4.71%,315.0 sq mi,1528,39.13,94.55
38,Atlanta,Georgia,"472,522","420,003",12.50%,133.5 sq mi,3539,33.76,84.42
39,Long Beach,California,"470,130","462,257",1.70%,50.3 sq mi,9347,33.81,118.16
40,Colorado Springs,Colorado,"465,101","416,427",11.69%,195.6 sq mi,2378,38.87,104.76
41,Raleigh,North Carolina,"458,880","403,892",13.61%,145.1 sq mi,3163,35.83,78.64
42,Miami,Florida,"453,579","399,457",13.55%,36.0 sq mi,12599,25.78,80.21
43,Virginia Beach,Virginia,"452,602","437,994",3.34%,244.7 sq mi,1850,36.78,76.03
44,Omaha,Nebraska,"446,970","408,958",9.29%,133.2 sq mi,3356,41.26,96.05
45,Oakland,California,"420,005","390,724",7.49%,55.9 sq mi,7514,37.77,122.23
46,Minneapolis,Minnesota,"413,651","382,578",8.12%,54.0 sq mi,7660,44.96,93.27
47,Tulsa,Oklahoma,"403,090","391,906",2.85%,196.8 sq mi,2048,36.13,95.9
